"Team","WINorLOSS","OpponentPoints"
"CLE","W",84
"CLE","L",89
"CLE","L",105
"CLE","W",97
"CLE","W",87
"CLE","W",79
"CLE","W",100
"CLE","W",115
"CLE","W",99
"CLE","W",85
"CLE","W",107
"CLE","L",99
"CLE","W",77
"CLE","L",132
"CLE","W",78
"CLE","W",102
"CLE","L",96
"CLE","W",107
"CLE","W",93
"CLE","W",106
"CLE","W",103
"CLE","W",106
"CLE","L",106
"CLE","L",104
"CLE","W",84
"CLE","W",100
"CLE","W",111
"CLE","W",95
"CLE","W",92
"CLE","L",96
"CLE","W",103
"CLE","L",99
"CLE","L",113
"CLE","W",96
"CLE","W",83
"CLE","W",103
"CLE","L",106
"CLE","W",111
"CLE","W",108
"CLE","W",90
"CLE","L",94
"CLE","W",98
"CLE","W",103
"CLE","L",122
"CLE","W",91
"CLE","W",104
"CLE","L",104
"CLE","W",93
"CLE","L",106
"CLE","W",87
"CLE","W",108
"CLE","W",103
"CLE","W",80
"CLE","L",123
"CLE","L",105
"CLE","W",94
"CLE","L",112
"GSW","W",95
"GSW","W",92
"GSW","W",120
"GSW","W",69
"GSW","W",108
"GSW","W",104
"GSW","W",94
"GSW","W",95
"GSW","W",84
"GSW","W",116
"GSW","W",99
"GSW","W",110
"GSW","W",117
"GSW","W",94
"GSW","W",105
"GSW","W",77
"GSW","W",116
"GSW","W",101
"GSW","W",103
"GSW","W",99
"GSW","W",109
"GSW","W",98
"GSW","W",123
"GSW","W",119
"GSW","L",108
"GSW","W",103
"GSW","W",112
"GSW","W",85
"GSW","W",83
"GSW","W",103
"GSW","L",114
"GSW","W",110
"GSW","W",108
"GSW","W",101
"GSW","W",88
"GSW","W",108
"GSW","W",116
"GSW","W",103
"GSW","L",112
"GSW","W",98
"GSW","L",113
"GSW","W",98
"GSW","W",94
"GSW","W",110
"GSW","W",90
"GSW","W",107
"GSW","W",105
"GSW","W",95
"GSW","W",121
"GSW","W",108
"GSW","W",110
"GSW","W",104
"GSW","L",137
"GSW","W",112
"GSW","W",92
"GSW","W",112
"GSW","W",114
"GSW","W",118
"GSW","W",105
"GSW","W",106
"GSW","L",112
"GSW","W",113
"GSW","W",94
"GSW","W",112
"GSW","W",116
"GSW","W",107
"GSW","W",85
"GSW","W",112
"GSW","L",87
"GSW","W",104
"GSW","W",98
"GSW","W",120
"GSW","W",105
"GSW","W",94
"GSW","W",96
"GSW","L",109
"GSW","W",111
"GSW","L",124
"GSW","W",101
"GSW","W",99
"GSW","W",86
"GSW","W",104
"SAS","L",112
"SAS","W",75
"SAS","W",87
"SAS","W",84
"SAS","L",102
"SAS","W",94
"SAS","W",88
"SAS","W",101
"SAS","W",83
"SAS","W",80
"SAS","W",98
"SAS","L",104
"SAS","W",82
"SAS","W",84
"SAS","W",83
"SAS","W",80
"SAS","W",88
"SAS","L",92
"SAS","W",70
"SAS","W",83
"SAS","W",105
"SAS","W",68
"SAS","L",97
"SAS","W",87
"SAS","W",78
"SAS","W",81
"SAS","W",95
"SAS","W",107
"SAS","W",92
"SAS","W",83
"SAS","L",88
"SAS","W",86
"SAS","W",95
"SAS","W",79
"SAS","W",103
"SAS","W",98
"SAS","W",98
"SAS","W",99
"SAS","W",79
"SAS","W",99
"SAS","W",95
"SAS","W",83
"SAS","W",89
"SAS","W",95
"SAS","L",120
"SAS","W",99
"SAS","L",117
"SAS","W",92
"SAS","W",97
"SAS","W",90
"SAS","W",102
"SAS","W",101
"SAS","W",96
"SAS","L",105
"SAS","W",113
"SAS","W",111
"SAS","W",92
"SAS","W",78
"SAS","W",94
"SAS","W",81
"SAS","W",86
"SAS","W",94
"SAS","L",99
"SAS","W",91
"SAS","W",101
"SAS","W",85
"SAS","W",87
"SAS","W",110
"SAS","W",79
"SAS","L",91
"SAS","W",88
"SAS","W",104
"SAS","L",111
"SAS","W",87
"SAS","W",92
"SAS","W",95
"SAS","W",86
"SAS","L",112
"SAS","L",102
"SAS","L",92
"SAS","W",98
"SAS","W",91
"TOR","W",99
"TOR","W",103
"TOR","W",87
"TOR","W",91
"TOR","W",98
"TOR","L",92
"TOR","L",96
"TOR","L",111
"TOR","W",103
"TOR","W",81
"TOR","L",107
"TOR","L",115
"TOR","L",93
"TOR","W",91
"TOR","W",80
"TOR","W",99
"TOR","W",82
"TOR","L",107
"TOR","W",86
"TOR","L",106
"TOR","L",112
"TOR","W",93
"TOR","W",94
"TOR","W",83
"TOR","W",76
"TOR","L",106
"TOR","L",109
"TOR","W",94
"TOR","L",104
"TOR","W",99
"TOR","W",90
"TOR","L",104
"TOR","W",91
"TOR","W",94
"TOR","L",115
"TOR","L",122
"TOR","W",74
"TOR","W",88
"TOR","W",95
"TOR","W",103
"TOR","W",100
"TOR","W",109
"TOR","W",81
"TOR","W",94
"TOR","W",89
"TOR","W",93
"TOR","W",107
"TOR","L",112
"TOR","W",97
"TOR","W",103
"TOR","W",89
"TOR","L",117
"TOR","L",116
"TOR","W",85
"TOR","W",95
"TOR","W",105
"TOR","W",97
"TOR","L",114
"TOR","W",94
"TOR","W",115
"TOR","L",113
"TOR","W",99
"TOR","W",96
"TOR","W",104
"TOR","L",109
"TOR","W",89
"TOR","W",94
"TOR","W",91
"TOR","W",100
"TOR","L",91
"TOR","L",112
"TOR","W",91
"TOR","L",119
"TOR","W",97
"TOR","W",95
"TOR","L",102
"TOR","W",90
"TOR","L",95
"TOR","W",98
"TOR","W",89
"TOR","W",98
"TOR","W",96
"CLE","W",88
"CLE","W",91
"CLE","W",99
"CLE","W",120
"CLE","W",122
"CLE","W",101
"CLE","L",110
"CLE","W",94
"CLE","W",93
"CLE","W",117
"CLE","L",103
"CLE","W",81
"CLE","W",125
"CLE","W",90
"CLE","W",108
"CLE","L",118
"CLE","L",113
"CLE","L",111
"CLE","W",112
"CLE","W",94
"CLE","W",84
"CLE","W",105
"CLE","W",86
"CLE","L",93
"CLE","W",108
"CLE","W",108
"CLE","W",102
